uid;name;nodes;ways;relations
"9458630";"Ukrainian spy";"340380";"29886";"572"
"3957867";"sdvm";"334323";"9989";"76"
"252456";"dima_ua";"330639";"5667";"0"
"371387";"matvey_kiev_ua";"317314";"18670";"42"
"10184360";"vootza";"312111";"56218";"115"
"4296598";"siralhy";"310592";"51579";"196"
"542550";"prokhozhijj";"304509";"51267";"79"
"1042032";"georg troyan";"303635";"12914";"9"
"616481";"gigi2037";"301109";"8420";"42"
"4473394";"pasharm";"299090";"34337";"1293"
"543551";"D-I";"293339";"52692";"260"
"6546485";"Ivan Gurov";"287644";"13846";"11"
"4193738";"Salmonleg";"284224";"45724";"1824"
"824947";"BohdanKuts";"279549";"24224";"1568"
"9630102";"muninnn";"278005";"62635";"67"
"2052948";"Maturi0n";"271669";"38672";"832"
"918315";"Rereader";"270772";"57289";"46"
"10053437";"prtaxidonetsk";"256954";"59103";"34"
"374661";"iorant";"255326";"21847";"288"
"368942";"KKS";"251133";"19746";"764"
"8321206";"ID`s";"249695";"39255";"628"
"2365643";"Aleks_2015";"249402";"12208";"0"
"359231";"udarnyk";"241358";"10817";"1485"
"4355762";"Bonya_23";"239431";"7112";"59"
"435534";"teologop";"236230";"31098";"1146"
"4833430";"Strtg_";"232710";"18734";"839"
"704753";"Zcor";"232336";"16571";"177"
"899942";"Myazyk";"231777";"23891";"607"
"370544";"Lokki";"230627";"26410";"201"
"288500";"Gontsa";"230297";"24914";"37"
"10921734";"Alex Sheff";"224701";"21904";"63"
"3477765";"Blackbird27";"216946";"25335";"599"
"2280853";"UkrainianZombie";"216477";"22760";"910"
"3244221";"AlexRiabtsev";"212584";"14725";"165"
"440812";"dudka";"211425";"53224";"1740"
"31778";"Sanja Byelkin";"209908";"8221";"29"
"710929";"Igor Pomaranskiy";"206741";"38314";"2"
"6366294";"Andrew Serge";"202955";"27627";"304"
"7364813";"xxoonn";"202099";"21554";"63"
"9249148";"User5 - Lightcyphers";"201840";"21238";"87"
"10493430";"User7 - Lightcyphers";"199412";"19337";"176"
"1980824";"wmyrda";"197957";"14388";"140"
"4506279";"OxanaChec";"197709";"1667";"1"
"8397503";"tkoval83";"196979";"21423";"1819"
"2461551";"sashalom";"188010";"10725";"42"
"571410";"Антін Сартенченко";"187597";"23535";"617"
"1736346";"Zmianowy";"185553";"16213";"22"
"2921272";"Husim";"184673";"20794";"1754"
"4716233";"Yuriy_mk1988";"184371";"44072";"295"
"47228";"bullethimself";"181471";"24202";"12"
"356014";"_sev";"179666";"19875";"94"
"3614787";"dnipro_import";"177799";"46459";"642"
"504954";"Eugene Ghostishev";"175653";"5700";"393"
"10235492";"Alex Pro 5";"173798";"19584";"59"
"561874";"K2_UNDERGROUND";"158866";"26417";"215"
"7154639";"trofimich";"156994";"19194";"29"
"11020095";"Pogreb";"156860";"15709";"239"
"2587496";"Thunder08";"156060";"38058";"751"
"2457516";"Slavat";"151378";"6728";"1257"
"2393256";"tntzoom";"144734";"24146";"26"
"1920529";"Hnatyuk";"143978";"15124";"186"
"1232421";"slayzex";"142820";"23052";"570"
"2203602";"Sergey82K";"141819";"14838";"278"
"12107939";"Rostyslav12";"141807";"19537";"1123"
"2995251";"Oleg_MD";"141272";"13686";"3142"
"7508603";"Svit";"138195";"18834";"285"
"3155549";"nikiforov";"138176";"25721";"683"
"3080246";"MiroslavDzheznyak";"138152";"26788";"5"
"1711682";"IraAntishko";"137482";"2991";"3"
"2050109";"gavr_alex";"136100";"5590";"142"
"1730741";"Sergey Harini";"136008";"13948";"28"
"731064";"AzurRu";"134005";"21918";"11"
"1874775";"Ukrainski";"133492";"1863";"82"
"839583";"Obrij";"133134";"7478";"307"
"448601";"Andrew Shelestov";"132405";"22243";"99"
"11173239";"Олександр М";"131499";"15154";"1594"
"421351";"silea";"131153";"18913";"258"
"2801727";"andergrin";"130167";"73485";"474"
"672536";"xmd5a";"129719";"14937";"522"
"2095238";"filutkie";"128075";"20894";"57"
"371711";"knockpenny";"127732";"20752";"27"
"460348";"aks46";"126915";"12145";"35"
"588948";"Zaskoruzlov Garik";"124749";"10968";"274"
"440222";"RostiTorth";"124303";"24838";"12"
"311846";"Falnon";"124068";"37881";"80"
"380564";"danvyr";"123869";"22998";"22"
"308955";"phase";"122976";"12582";"15"
"221306";"Alexey Furashev";"122477";"4646";"65"
"5181402";"maximym44";"121374";"7535";"114"
"92561";"оleg";"121305";"36895";"67"
"477248";"Alnes";"120191";"7546";"3"
"4814295";"Алекс Мок";"119658";"27001";"5"
"2415386";"vmanulik";"119098";"19060";"35"
"8691069";"Ungoose";"117335";"14415";"1314"
"582113";"solomka15";"115320";"12595";"4"
"18776";"Max Vasilev";"114105";"15150";"216"
"561414";"Freeways_me";"113936";"11685";"0"
"1230692";"Kaskad13";"112569";"2271";"4"
"395071";"Xmypblu";"112097";"22516";"12"
"399543";"Sever";"110581";"7659";"0"
"2877744";"gektor1488";"110430";"16561";"390"
"7753467";"User2 - Lightcyphers";"108109";"12368";"122"
"6110846";"Poliakoff Mykhailo";"105708";"25360";"3090"
"45270";"as4tik";"105033";"7909";"11"
"591544";"avatar6";"104844";"25534";"984"
"8671948";"Volodymyr D-k";"104337";"10465";"32"
"769990";"Yashkin Kot";"103970";"12455";"68"
"1739740";"андриано";"103313";"15983";"86"
"7272786";"Viterall";"102722";"16284";"35"
"2596008";"Хемік";"100984";"6878";"2"
"4833407";"ivankoo";"100101";"16750";"32"
"553541";"B_KSL";"99004";"9354";"496"
"189858";"Vort";"98272";"2954";"14"
"1886646";"marco443";"96818";"23084";"0"
"2662351";"Tupikov Andrey";"96767";"1202";"40"
"324641";"Larry0ua";"95721";"14212";"176"
"630853";"user_630853";"95645";"8416";"62"
"8594455";"Teddybär";"95331";"22335";"2"
"494517";"Лях";"95020";"11234";"88"
"281865";"Володимир Новіцький";"93939";"26793";"162"
"693154";"Władysław Komorek";"93786";"12335";"4"
"3981253";"Domkot_UA";"93397";"15376";"2060"
"358072";"Romania CLC import bot";"92008";"398";"0"
"515330";"Alexey_ND";"90647";"6387";"165"
"3218634";"Syarol";"90259";"16207";"1802"
"10857625";"muchichka_s";"89262";"15278";"3765"
"1920666";"Yalvex";"88924";"4977";"257"
"2923836";"VileGecko";"87933";"17127";"740"
"348852";"nazgul5";"86800";"16340";"436"
"7850504";"Taxi 6565";"85482";"16343";"131"
"88975";"Lindroid";"84960";"8154";"445"
"2392943";"Skifes";"84633";"13822";"743"
"1954917";"Roman Tuz";"84239";"16097";"32"
"8591681";"HolySovereign";"84229";"10317";"36"
"4564925";"LiteratimBi";"84189";"2304";"2932"
"238701";"yachtsworld";"82826";"5043";"1"
"3645351";"freakmonk";"82639";"7009";"800"
"2282219";"YAKIM";"82383";"4643";"3"
"10493415";"User6 - Lightcyphers";"82363";"8401";"23"
"3100177";"ExplorerUA";"82084";"3621";"480"
"311318";"luiswoo";"81754";"9445";"41"
"5294661";"Boroshno";"81744";"14851";"5"
"586705";"arcitec";"81584";"2059";"1"
"3039196";"Fyodor Shevchenko";"81390";"6523";"42"
"11387785";"GoatIsland";"81144";"1932";"26"
"353472";"Barbos";"81061";"9075";"103"
"2471416";"kzrc";"80940";"6488";"12"
"3098930";"YarNik";"80355";"14716";"289"
"146532";"Tesla";"80336";"10247";"3"
"2041501";"OlegYAVA";"80131";"11024";"768"
"7753475";"User3 - Lightcyphers";"78878";"5621";"80"
"1782528";"deathDEN";"78504";"9785";"26"
"9563877";"Dmitry Kucher";"78275";"5797";"36"
"4945863";"Bodya69";"76865";"9457";"34"
"10067215";"opencarpatia";"76296";"13356";"300"
"630111";"pzp-5";"75939";"2232";"18"
"11425841";"BikeForrestExplorer";"75049";"11250";"41"
"2410942";"RMaryan";"74675";"15826";"159"
"6268514";"maximkooo";"74654";"9323";"128"
"8282477";"mr_mapper_123";"74279";"6681";"29"
"174344";"Badarau Andrei";"74114";"3814";"0"
"397326";"trolleway";"73163";"7366";"552"
"1423735";"Taras Yurakh";"73044";"12663";"11"
"5726723";"masquer";"70804";"9855";"557"
"1364176";"madeinussr";"70691";"2738";"13"
"6718443";"Limonadik_XT";"69281";"14191";"59"
"7064928";"Pan_Andriy";"69280";"10373";"139"
"10811183";"JuanDeFuca";"69234";"1139";"0"
"382900";"slavko";"69039";"8494";"2"
"10652786";"AllisonRoad";"69012";"1140";"28"
"1446959";"Roman_kuz";"68707";"3557";"0"
"3856868";"Yur@";"68436";"11026";"3"
"165509";"koszatek";"67226";"6485";"101"
"16881";"user_16881";"67091";"6366";"21"
"1567532";"edward17";"66466";"11017";"201"
"540071";"bakasana";"66369";"3050";"5"
"4857632";"pskvc";"65696";"6522";"66"
"8978331";"velikodsky";"64806";"10380";"922"
"2298644";"Womkel";"64376";"3074";"24"
"8500623";"Nazar_UA";"64031";"8627";"96"
"1773238";"sedort1";"63513";"4804";"12"
"1041755";"freelime";"63345";"6752";"55"
"7291448";"Bugretish";"62654";"5846";"808"
"420193";"headlong22";"62535";"3099";"24"
"11187555";"Yppenplatz";"62401";"1451";"18"
"5554169";"francisc75";"61557";"11696";"3"
"454969";"Cepera1575";"61360";"3551";"13"
"339710";"Alex Khimich";"61186";"7728";"25"
"904010";"~Jhellico";"60658";"64910";"2055"
"531915";"vasilyevdmitro";"59257";"7088";"24"
"2069329";"Marsion";"59161";"2892";"3"
"11187452";"BerezanIsland";"58887";"1388";"4"
"113317";"nyoma";"58343";"11392";"378"
"9461104";"Kastchei";"57706";"8261";"197"
"8475321";"kozakvasyl";"57513";"11048";"8"
"530088";"DimaZ";"56998";"5421";"138"
"1892977";"andrey550";"56869";"10710";"13"
"5698570";"Микола Ярощук";"56692";"8622";"21"
"443101";"zhvlnts";"56666";"3529";"9"
"92538";"osm-ukraine";"56567";"285";"0"
"380388";"Miheich";"55475";"3516";"5"
"591962";"Павел-62";"55176";"2045";"1"
"9248022";"RudzikUA";"55062";"708";"1"
"435936";"Legioner";"54575";"11758";"46"
"3166944";"yaugenka";"54522";"1223";"137"
"3228229";"Givizub";"53184";"7025";"22"
"9538613";"Alex SK";"52925";"7974";"26"
"392787";"OldFox";"52766";"1308";"0"
"8983588";"shargat";"52403";"7740";"472"
"8372533";"Андрей Федяков";"51815";"11983";"4"
"3687143";"FuseR";"51596";"8673";"13"
"6121525";"Makovskyi";"51488";"7661";"134"
"4709500";"Vitalii Vdovenko";"51421";"1730";"20"
"545946";"VnTsokur";"50591";"12436";"11"
"10800962";"Kirotge";"49866";"11131";"0"
"29320";"Komяpa";"49849";"2289";"8"
"378247";"geocarto";"49547";"11515";"5"
"195702";"Sergey Kozyr";"49390";"8764";"105"
"654173";"acvarium";"49362";"5374";"6"
"418783";"Svargref";"48474";"5899";"1"
"6837259";"Moldovan_Merkator";"48117";"3781";"287"
"561234";"eXmajor";"47834";"2137";"1"
"4655107";"izium-import";"47549";"12204";"2"
"2487092";"Vovan_Kiev";"47522";"10338";"1"
"9202949";"Roolet";"47446";"8202";"80"
"10888656";"CoursSaleya";"46557";"711";"18"
"4464045";"Anton Melnichuk";"46405";"5690";"448"
"629177";"Renger";"46286";"2059";"25"
"10215904";"kagebar";"46219";"8777";"1"
"143266";"Sergey Astakhov";"46095";"4939";"60"
"8182952";"kMeeT";"45969";"3978";"9"
"66590";"iONiX";"45857";"2223";"44"
"11163113";"Gregory UKR";"44975";"8390";"169"
"10267604";"Dmitriy_Bondar";"44620";"6260";"157"
"9447012";"Popolopen";"44458";"380";"1"
"3099360";"Iscandel";"44216";"6663";"48"
"6935690";"Artem Kuz";"44069";"7634";"77"
"2799015";"Велькин Виктор";"43896";"8734";"308"
"561759";"Grigoriv";"43355";"2845";"0"
"8518742";"mtchk";"43255";"5707";"68"
"1669433";"ivan_mamaev";"43142";"1271";"32"
"1809673";"keder";"42734";"1691";"15"
"438670";"lipsigal";"42683";"1736";"15"
"1900160";"asklioped";"42507";"172";"2"
"2114747";"Internecivus";"41986";"4177";"411"
"704362";"bobrik1505";"41853";"1526";"0"
"3242441";"Alex Bunulo";"41757";"3480";"19"
"1778856";"Hlink";"41629";"8048";"2"
"10652994";"GangnamDistrict";"41619";"842";"18"
"236129";"Z440";"41271";"1546";"1"
"3577590";"Микола Семенчук";"41002";"2826";"6"
"7434322";"crhare";"40686";"2266";"8"
"575754";"Елвіс";"40625";"2266";"0"
"4490772";"Sergey Gorenko";"40450";"7439";"3"
"10888643";"Sioule";"40432";"455";"5"
"10128826";"Alexandr Kovacs";"40282";"2448";"6"
"2986825";"Артурчик Огурчик";"40213";"5512";"5"
"376220";"AdBlock";"40092";"1826";"363"
"8719334";"s_sviridov";"39726";"1947";"2"
"11187446";"ChisosBasin";"38990";"473";"4"
"2787960";"marcis60";"38759";"8145";"276"
"2315262";"ДмитрийЯ";"38664";"5805";"90"
"2231253";"vettellfc";"38615";"5752";"28"
"995789";"Gelow";"38336";"6772";"52"
"231398";"baleyko";"38196";"4663";"11"
"571003";"Igor_P";"38159";"1180";"1"
"4638896";"Vital38";"37951";"3707";"14"
"402319";"Stalker61";"37846";"944";"51"
"12065207";"stupidEnginir";"37056";"5486";"32"
"10074456";"Altaelva";"36956";"1417";"11"
"3043835";"Andrew BeZon";"36928";"2038";"30"
"987263";"Lend";"36768";"2676";"15"
"525459";"teologovsan";"36533";"2978";"313"
"2069051";"derzandio";"36513";"3844";"6"
"4133123";"ODnova";"36505";"6843";"80"
"1235788";"Natali1994";"36310";"2087";"17"
"388634";"AlekseyCn";"35816";"5056";"0"
"9436390";"Ватутіне Місто";"35495";"6313";"54"
"407508";"StanislavX";"35197";"3059";"118"
"1531627";"kuzz";"35189";"1939";"71"
"3225928";"Chieftl";"35012";"10148";"302"
"145484";"Maksym Kortunov";"34887";"4763";"10"
"155636";"mandruy";"34308";"865";"4"
"12009082";"Vkz";"34013";"5358";"15"
"428967";"PavolG";"33834";"2757";"1"
"2651773";"Ihor Vusyk";"33661";"5689";"37"
"69392";"arconaut";"33648";"2726";"36"
"2183089";"EgerUa";"33623";"3815";"28"
"2118706";"1Cat";"33248";"3060";"52"
"575905";"denisis";"33076";"2898";"131"
"4512937";"kotok";"33059";"5351";"38"
"8124755";"evgenuine";"32846";"3277";"17"
"117960";"va-deam";"32838";"3700";"172"
"8934655";"Ohrenator";"32723";"10647";"34"
"966480";"navys";"32704";"3998";"0"
"3587414";"militrik";"32476";"7535";"406"
"502625";"Petro Nek";"32207";"6682";"19"
"736485";"Kengaru";"32150";"4763";"7"
"1812967";"avolkov";"31744";"8716";"0"
"6809465";"OlegOlegOlegOlegOleg";"31719";"3732";"5"
"5332447";"Paschaleo";"31506";"4894";"0"
"10513482";"Oleh Potapenko";"31480";"5873";"36"
"4999680";"Weatherby";"31161";"1791";"3"
"383200";"Takuto";"30645";"5674";"3"
"2436512";"Sergioni145";"30635";"5097";"7"
"406299";"Papayaved";"30633";"805";"59"
"4048394";"Wishius";"30630";"4815";"13"
"1223229";"Sava_Apollo";"30616";"2463";"26"
"706587";"Семён Семёнов";"30362";"6329";"36"
"10892562";"Szrenica";"30149";"305";"11"
"6116255";"Аватар13";"30028";"3288";"59"
"1538111";"avinet_ua";"29827";"4589";"26"
"2853561";"Владимир К";"29766";"7566";"253"
"3067680";"stasUdovin";"29712";"5770";"26"
"3097980";"thepogreb";"29336";"6272";"52"
"648633";"kulyk";"29268";"2770";"7"
"10529645";"JebelJais";"29082";"716";"18"
"228457";"EchoTango";"28939";"2372";"0"
"7576571";"Mischanya";"28509";"5279";"0"
"3792724";"lollipopsic";"28391";"6839";"9"
"377085";"al007";"28327";"2126";"60"
"133332";"AMDmi3";"28302";"3655";"13"
"481934";"iWowik";"28228";"132615";"21080"
"11387835";"StikineIcefield";"28167";"726";"9"
"429148";"masteravs";"28137";"5470";"43"
"376729";"valeronm";"28035";"3274";"61"
"267743";"zalex_ua";"27959";"3032";"115"
"9551565";"Рижих Микола";"27936";"5696";"0"
"420030";"Yoreg";"27840";"1124";"0"
"11387720";"EtangDeBerre";"27717";"502";"8"
"715118";"SVerny";"27465";"1133";"0"
"4944916";"Something B";"27366";"3105";"110"
"74856";"sHa";"27303";"2883";"74"
"9385941";"Morty123";"27147";"3113";"2"
"3169212";"che_";"27009";"4315";"7"
"398817";"ullus";"26790";"1458";"55"
"3355077";"doslidnik";"26724";"4165";"7"
"8261913";"Nibiru_UA";"26469";"6239";"1"
"605999";"rubinUA";"26410";"8614";"1"
"11387799";"PulauIndah";"26397";"620";"1"
"187875";"Knight_1984";"26358";"1724";"1"
"2897870";"marini72";"26321";"825";"4"
"3023916";"neviksasha";"26183";"3867";"71"
"693228";"SashokA";"26171";"359";"6"
"422368";"devcomm";"25986";"815";"0"
"11073799";"WanderlustMapper";"25924";"5636";"83"
"1387229";"babaka";"25878";"416";"10"
"10653308";"DelawareWaterGap";"25873";"893";"6"
"3096801";"maxride";"25726";"3285";"11"
"3023303";"Vitalii Sharaievskyi";"25723";"2267";"2"
"6403132";"Development_Eug";"25712";"5433";"0"
"7150214";"IWantToBelieve";"25695";"4278";"5"
"10653025";"Annobon";"25667";"480";"26"
"10778041";"Monstrofil";"25636";"7759";"505"
"1737608";"ForstEK";"25601";"5281";"9"
"404532";"jaimemd";"25550";"5454";"9"
"6765054";"MykolaRM";"25542";"4129";"3"
"9341843";"mirmap";"25408";"2587";"29"
"411893";"Amba[rus]";"25362";"1414";"0"
"9019991";"Yegor Ratkovskiy";"25341";"880";"13"
"2427639";"Стебло Валерій";"25258";"3548";"0"
"4815";"*Martin*";"25129";"1274";"69"
"11354269";"pliuto";"25128";"4231";"1"
"187591";"generatorglukoff";"24991";"504";"5"
"155088";"mixdm";"24870";"2749";"29"
"4285050";"Satan Claus";"24805";"2271";"110"
"147314";"lyoshko";"24769";"3070";"8"
"3302852";"SashaKoval";"24693";"2597";"7"
"3435436";"Kuzyak_Andriy";"24647";"3348";"0"
"11899837";"Дежурный сис админ ЕДДС";"24605";"6117";"50"
"6819764";"Александр Олейников";"24516";"3372";"5"
"10170358";"Artemflp";"24311";"4260";"0"
"9202957";"BigPastaDinner";"24278";"3285";"22"
"6850991";"resquer_DPR";"24111";"1284";"3"
"788014";"LLlypuk82";"24034";"3875";"30"
"376644";"vitalybaev";"23981";"3292";"0"
"3639544";"ququruzka";"23946";"3352";"62"
"295465";"nikolay_komodov";"23903";"1387";"0"
"8346287";"pawelu";"23903";"335";"0"
"11187742";"TwoMedicine";"23901";"721";"18"
"2114169";"Vladimir Salmin";"23811";"777";"6"
"512617";"Amator265";"23777";"4387";"1"
"1231704";"AntoKha";"23775";"850";"6"
"3003217";"hvictor";"23543";"9640";"75"
"570551";"kr12";"23475";"2389";"17"
"213029";"Pavlo";"23418";"4162";"1"
"384084";"Kostik";"23383";"6028";"184"
"2858581";"glen09";"23350";"2437";"355"
"643371";"Went";"23101";"1785";"0"
"3408799";"Cannibal Gal";"23069";"5230";"0"
"303042";"Alexandrlll";"23019";"3823";"161"
"247546";"Kaniv gis";"22934";"4960";"0"
"379582";"Lazarevsk";"22868";"3089";"0"
"706976";"urken91";"22863";"3734";"1"
"2098727";"RRRR1111";"22721";"1674";"74"
"3417884";"Karpa_O_R";"22695";"3240";"1"
"484307";"HasT";"22675";"2072";"11"
"10811012";"Karkloof";"22670";"330";"2"
"11187753";"Zealandia2";"22554";"521";"19"
"10529559";"PiedmontPark";"22460";"663";"8"
"694371";"Jay May";"22457";"2345";"61"
"4468670";"petrichenkoyura";"22300";"973";"0"
"16319";"ipodolsk";"22282";"693";"0"
"1231703";"Oleh_Prylutsky";"22261";"1172";"52"
"1715819";"avena701";"22210";"2244";"13"
"10344581";"FarCryMan";"22161";"2801";"21"
"533565";"AntraxI";"22020";"1794";"0"
"8033848";"Земля000";"21986";"1224";"100"
"1817244";"Helmchen42";"21961";"1319";"18"
"11880302";"suchAnight";"21894";"1906";"12"
"10389683";"Галицына";"21882";"6570";"0"
"1336565";"IIITaTuB";"21832";"1280";"8"
"893193";"dima_ua_import";"21818";"13";"1"
"2569179";"Inger0ni";"21744";"3690";"2"
"11187534";"EarlOMeath";"21684";"524";"7"
"1813958";"dach-outdoor";"21676";"486";"7"
"3940696";"Oleksandr M";"21528";"3353";"47"
"1937991";"Антон-1983";"21387";"3112";"23"
"9222763";"pisky180274";"21359";"2174";"25"
"222568";"Pfad-Finder";"21336";"1215";"24"
"9653273";"RZR-UA";"21303";"1659";"5"
"3970216";"Railwayfan2005";"21247";"1629";"159"
"2144790";"WMietek";"21164";"1942";"135"
"515000";"zayats1974";"21156";"5756";"0"
"195173";"vkorenev";"21100";"1052";"12"
"286951";"g00g01";"21091";"1323";"161"
"391050";"olede4";"21062";"2196";"309"
"3463210";"sergiyl9";"21061";"5740";"0"
"592017";"Strider55";"21044";"1349";"163"
"4808647";"Евтушок Алексей";"21007";"3734";"0"
"2635538";"Serzhanya";"20956";"4212";"19"
"1182847";"ihorb";"20703";"569";"46"
"139781";"Sintorres";"20702";"3301";"0"
"374265";"NothisIm";"20197";"5347";"0"
"163023";"ajvol";"20174";"1434";"2"
"2149097";"msa777";"20130";"835";"0"
"1180736";"langoor";"20127";"1987";"36"
"3785705";"evm90";"20070";"1100";"6"
"10307464";"Petro Hryniuk";"20060";"1154";"34"
"544675";"Obelixx";"20026";"23";"0"
"3164749";"Enzo93";"19997";"3534";"2"
"2304346";"NaviMen";"19941";"4146";"1"
"5359888";"curlyhairedgirl_ua";"19910";"2497";"3"
"4846416";"keepcalmandmapon";"19879";"3318";"22"
"345544";"Approksimator";"19847";"2471";"14"
"1420956";"DimerG";"19818";"3356";"3"
"4760211";"Karpatskou Stezkou";"19814";"3217";"4"
"1403907";"VMukhtarov";"19705";"163";"0"
"330030";"int_ua";"19661";"2091";"7"
"2098272";"maraf24";"19575";"2078";"25"
"5673032";"GTA KaskaD";"19561";"3628";"265"
"86339";"VladUA";"19551";"880";"0"
"12057339";"User8 - Lightcyphers";"19038";"1952";"12"
"10811187";"Kalixalven";"19030";"392";"12"
"1559158";"vakulya";"18973";"1646";"40"
"4018695";"🇨🇿 Roman Horník";"18947";"1615";"8"
"460601";"sakach";"18877";"1407";"0"
"10007355";"Димон-Монах";"18871";"1591";"7"
"2715439";"ndm000";"18806";"1269";"7"
"4517621";"Vulpes-Vulpeos";"18755";"2858";"0"
"6193378";"Stork71";"18502";"883";"5"
"158067";"Silver Ghost";"18413";"2346";"0"
"1370121";"Helgi";"18298";"1046";"4"
"1420123";"Dimich33";"18254";"3084";"47"
"2075220";"MrPaschenko";"18206";"4879";"165"
"476261";"SANDRY";"18061";"2193";"4"
"8869107";"O_Tkachenko";"18025";"5412";"105"
"4758054";"AlexGer";"18022";"1041";"0"
"2437961";"Юлія Волковинська";"18003";"2544";"2"
"336354";"esaulenka";"17904";"777";"36"
"112453";"Toster-Brat";"17898";"1935";"1"
"11399697";"bkw777geo";"17884";"3544";"89"
"2423923";"VaDiM Geodezy";"17827";"1811";"0"
"1592943";"Gubar";"17723";"1064";"32"
"7591210";"mljoke";"17703";"2993";"7"
"1785423";"Смил Сергей";"17621";"1804";"1"
"2026077";"Kleben";"17520";"1534";"2"
"767463";"ralyanov";"17479";"3816";"9"
"10529631";"ObRiver";"17468";"1677";"2"
"6816943";"Gavriil-1";"17420";"2332";"10"
"564990";"mavl";"17419";"2238";"5"
"391441";"greyfishnet1";"17367";"2600";"55"
"2937439";"destnk";"17325";"4447";"49"
"326188";"Dobr";"17215";"6420";"5"
"127018";"vicel";"17198";"1694";"5"
"9518695";"taxxxi";"17173";"6109";"3304"
"6334867";"Yarik32";"17067";"2282";"69"
"3411105";"Ivanka96";"17002";"370";"0"
"2266526";"Ivshyn";"16983";"3551";"108"
"715165";"alfagel";"16895";"590";"2"
"426032";"Volch";"16893";"3112";"56"
"7493003";"critical-mass";"16873";"3765";"48"
"507064";"nea1";"16846";"225";"0"
"6318292";"kornden";"16837";"3197";"1"
"2060500";"darksh1ne";"16790";"2713";"48"
"1220366";"Jake_Kh";"16741";"2520";"2"
"79838";"yurkoy";"16705";"350";"3"
"4631809";"InnerIn";"16682";"4686";"0"
"321862";"DanX";"16679";"453";"0"
"91056";"Yarl";"16676";"178";"20"
"4599462";"Katia Svystun";"16651";"3408";"0"
"9451154";"Yriy Shmirin";"16531";"7596";"225"
"3424462";"Andrii Lundiak";"16477";"1319";"4"
"1599582";"0_0";"16440";"1115";"11"
"11250305";"G24kt";"16431";"3520";"141"
"11018160";"Reibert";"16386";"3853";"13"
"2061151";"pss34";"16351";"1088";"27"
"3559901";"Ikakrand";"16332";"4657";"3"
"347270";"eva583";"16318";"1600";"0"
"1194510";"Железняк";"16267";"1448";"0"
"290271";"Zverik";"16218";"2473";"86"
"6216887";"ВладимирНиколаевич";"16172";"2852";"3"
"10529312";"Belaya01";"16161";"326";"3"
"204582";"Mir76";"16041";"2355";"10"
"4664957";"liuda4";"16009";"3843";"0"
"2966528";"SLV_osm";"15845";"2312";"7"
"39500";"Spartaner";"15761";"82";"0"
"11325746";"windrunnertaras";"15739";"2094";"11"
"32621";"TEL0000";"15714";"672";"0"
"9635473";"Xenomorph22";"15687";"2630";"0"
"4688028";"andreiSk";"15636";"2770";"10"
"2794767";"rjdfktyrjld";"15607";"2526";"0"
"3501450";"veikus";"15600";"2135";"1"
"579750";"Виктор Мудрый";"15529";"2014";"0"
"4864109";"yarik_mapograf";"15508";"2624";"1"
